reviews,extracted
"Gastroteca is great new edition restaurant in Astoria. The have outside seating for great spring/ summer days and offer a great list of cocktail you simply can't beat. There pasta game is great and the brunch here is A1, but then again everything on their menu is good.I love the ambience in this place. The drinks are great, the staff is very helpful, & the food is amazing!Really great pasta dishes, appetizers and their drinks are great. The chicken and waffles for brunch here is one of the best by far i've had.Great neighborhood gem, brunch lunch or dinner is awesome. It Can be a bit noisy at times inside when busy, but thats every where with great food. I definitely recommend getting outside seatings in spring/summer timeGreat staple for weekend brunch & dog friendly. Great service!"," Gastroteca is great new edition restaurant in Astoria. There pasta game is great and the brunch here is A1, but then again everything on their menu is good.I love the ambience in this place. The drinks are great, the staff is very helpful, & the food is amazing!Really great pasta dishes, appetizers and their drinks are great. It Can be a bit noisy at times inside when busy, but thats every where with great food."
"We came here on Sunday around 1:45pm. It was kind of busy, but there were available seats inside and out. Unfortunately, the menu was limited. They didn't have crostinos and other stuff on the menu that were listed on their website menu. They also do not have wifi for customers.I ordered crispy gnocchi for $16. It consists of spinach, pistachio pesto, and ricotta salata. Unfortunately, I got so little on my plate. It literally took me about 5 mins to eat everything on my plate. Not worth $16. My other friend created her own brunch meal: wheat toast, two scrambled eggs, and home fries. My other friend ordered smoked atlantic salmon crostino for $14.50. Their meals were not small like mine. Pros: free coffee refills, clean restrooms, clean restaurant, outdoor seating available, and decent serviceDo not order crispy gnocchi if you're hungry. I would come back to try their eggs benedict next time."," My other friend created her own brunch meal: wheat toast, two scrambled eggs, and home fries. My other friend ordered smoked atlantic salmon crostino for $14.50. Their meals were not small like mine. Pros: free coffee refills, clean restrooms, clean restaurant, outdoor seating available, and decent serviceDo not order crispy gnocchi if you're hungry. I would come back to try their eggs benedict next time."
"4 stars for the ambience/decor/waiters/their spinach gnocchi.. actually everything. It's just a block away from where I live and I am proud of having such a place in my neighborhood. U get great dinner , breakfast & brunch.and I like how a Black&white movie runs in the background- perfect setup for a date too.Food is great as well but it could be better and healthier ."," U get great dinner , breakfast & brunch.and I like how a Black&white movie runs in the background- perfect setup for a date too.Food is great as well but it could be better and healthier ."
This is indeed an outstanding brunch place. Everything is good! We ordered the famous banana ricotta which is perfect wth my coffee. I also had the salmon which is great. Have no complaints. Worth a second visit! Staff is very courteous., Everything is good! Have no complaints Worth a second visit Staff is very courteous.
"This is a random choice for tuesday brunch. We called before we get there & ask if they have table for 2. A person put us on hold for so long & we hang up but shes really nice that she called me back & told me theirs available tables inside. Got there & change our table to seat outside. We got seated on the corner of this restaurant. We called one of their waitress & inform her we're ready to order, she said shes gonna call our waitress but then shes still the one who came back & took our order. To start I got mimosa. For food my bf got the chicken sandwich & I got the sphagetti carbonara. They served the food real fast. My food was alright. It is topped with egg. My bf didn't like his sandwich, he said it taste like the tyson's chicken or chicken that we just microwave at home & it supposed to have avocado on it but theirs no avocado. We ask the waitress about it & she said shes gonna check about it & she never came back. So we called another waitress & ask for menu so we can double check the sandwich. The only time the waitress came back is when we ask our check. So we figured out that theirs 2 chicken sandwich in the menu (chicken sandwich & chicken cutlet & pesto sandwich) so she serves us pesto sandwich. Its weird because the pesto is more expensive than the other one with avocado & we ask for chicken sandwich. Sorry but we didn't enjoy our meal. No one check up on us and ask if we need anything and its so hard to catch their attention.", We got seated on the corner of this restaurant It is topped with egg So we called another waitress & ask for menu so we can double check the sandwich. Its weird because the pesto is more expensive than the other one with avocado & we ask for chicken sandwich. enjoy
"Great ambience, nice waitress, delicious food, but kinda slow service. It's fine if you come in a group and you have a lot to chat to kill the wait time. We waited for almost 10 mins to order and another 15 mins or more for our food to come (restaurant was indeed pretty packed). Yet drinks were served fairly quickly (before ordering food).My friends got Scampi and Grits ($16) and Chicken and Waffle ($18) with 2 fried eggs and home fries. I ordered the Fried Eggplants and Burrata Sandwich ($13.5) with salad (can choose fries too). I tried a bit of my friends' dishes and I loved all of them, including mine! -- The polenta was so creamy and buttery, and the scampi was so chewy; the tomato sauce (I guess) was so delicious that had the perfect sourness and went so well with the scampi. -- The mascarpone cheese was sweet but not too thick, although the fried chicken was okay. -- My sandwich was really good! The fried eggplants had a thin crust, a bit dry, but the eggplants were very moist and watery, and the burrata was simply tasty and refreshing, which added moisture to the bread. The bread was crunchy/crispy outside, but doughy inside. With the moisture given from the eggplants and burrata cheese, you wouldn't feel very dry or hard to swallow. My iced coffee was not rich at all, though, too plain and watery. Anyway, we all agree that this is the type of place we want to come again."," -- The polenta was so creamy and buttery, and the scampi was so chewy; the tomato sauce (I guess) was so delicious that had the perfect sourness and went so well with the scampi. -- The mascarpone cheese was sweet but not too thick, although the fried chicken was okay. -- My sandwich was really good! The fried eggplants had a thin crust, a bit dry, but the eggplants were very moist and watery, and the burrata was simply tasty and refreshing, which added moisture to the bread. The bread was crunchy/crispy outside, but doughy inside. With the moisture given from the eggplants and burrata cheese, you wouldn't feel very dry or hard to swallow. My iced coffee was not rich at all, though, too plain and watery."
"Perfection. My crostini with smoked salmon (and ricotta and this insane spicy jam/compote and perfect sunny side eggs) was probably the best thing I've ordered in a very long time!!! It was SO GOOD. Thick country bread, spread with fresh ricotta (it's usually mixed with fresh dill but I asked for it without since I haaaaaate dill), a dash of spicy compote (I think it had olives?), slices of smoked Atlantic salmon, and 2 sunny side eggs. YUM. Flavor explosion in my mouth!I also opted for the side salad which was fresh arugula and radicchio tossed in a fresh vinegary dressing - I could NOT stop eating that!! My entire plate was FANTASTIC. Husband ordered the Italian Benedict which he LOVED - it had parmacotto (cooked prosciutto - MEATY and DELICIOUS), and we were amazed that we had never had this before!! We shared the zeppoles to end our meal - we were so full we couldn't eat more than 2 a piece. The service was excellent, the coffee was excellent, and our dishes were OUTSTANDING. It was so good we literally made reservations for the weekend after for brunch while paying our check! Cannot wait to come back here!"," My crostini with smoked salmon (and ricotta and this insane spicy jam/compote and perfect sunny side eggs) was probably the best thing I've ordered in a very long time!!! It was SO GOOD. Flavor explosion in my mouth!I also opted for the side salad which was fresh arugula and radicchio tossed in a fresh vinegary dressing - I could NOT stop eating that!! My entire plate was FANTASTIC. Husband ordered the Italian Benedict which he LOVED - it had parmacotto (cooked prosciutto - MEATY and DELICIOUS), and we were amazed that we had never had this before!! We shared the zeppoles to end our meal - we were so full we couldn't eat more than 2 a piece. The service was excellent, the coffee was excellent, and our dishes were OUTSTANDING. It was so good we literally made reservations for the weekend after for brunch while paying our check! Cannot wait to come back here"
"We came in for Sunday brunch around 11AM and surprisingly, it wasn't too packed. It's quite a picturesque little restaurant, the floor to ceiling windows and outdoor seating shaded with greenery add to its charm.I ordered the Smoked Atlantic Salmon Crostini with sunny side up eggs and a side salad. It's a simple plate and they let the ingredients speak for themselves - SO refreshing and delicious! It was a little difficult to eat as the crostini is a huge slice of bread, would have been better for them to cut it up into two portions perhaps. But nonetheless, I can appreciate generous quantities of food. My friend ordered the crispy gnocchi and THIS..... this was wow. It's already great texture-wise, initially crunchy and then chewy on the inside. Then you add the pesto sauce and shaved ricotta and it's a done deal. The portion looks small at first but it fills you up fast. I couldn't help myself from stealing some off her plate. The only complaint we have was for the mimosas. Their servings are quite small for the price and ours tasted watered down. Otherwise, the food was spot on - would definitely come back for more!"," It was a little difficult to eat as the crostini is a huge slice of bread, would have been better for them to cut it up into two portions perhaps. But nonetheless, I can appreciate generous quantities of food. It's already great texture-wise, initially crunchy and then chewy on the inside. The portion looks small at first but it fills you up fast. I couldn't help myself from stealing some off her plate. Their servings are quite small for the price and ours tasted watered down. Sunday brunch"
"I came by with two friends on a Saturday around 12:00 PM and thankfully did not have to wait for a table.  We ordered the following:Smoked Atlantic Salmon Crostino ($13.50): the salmon came on a huge toast but I thought the toast was a bit too hard to chew.Belgian Waffles ($12.00): banana caramel sauce, walnut, and whipped cream on top of a huge waffle!  The waffle tasted really distinct (but good) and it was soft but a bit crunchy at the same time.  I really liked it!Scampi & Grits ($14.00): my friend ordered this and she thought it was good!The portions of the food were a bit above average!  None of us could finish our dish.  Service here was a bit slow... it took them a little over 30 mins to serve our food after ordering!  Our waitress also came by a little too often to check on our table - and it really seemed like she was rushing us... we felt a bit uncomfortable.Overall, a very average brunch spot."," We ordered the following:Smoked Atlantic Salmon Crostino ($13.50): the salmon came on a huge toast but I thought the toast was a bit too hard to chew.Belgian Waffles ($12.00): banana caramel sauce, walnut, and whipped cream on top of a huge waffle! The waffle tasted really distinct (but good) and it was soft but a bit crunchy at the same time. None of us could finish our dish. Our waitress also came by a little too often to check on our table - and it really seemed like she was rushing us... we felt a bit uncomfortable.Overall, a very average brunch spot."
"I came in for brunch on a Sunday around 1:45pm and this place was packed. They had an ample amount of outside seating as well as tables and high tops but every table was full. Thankfully we were seated rather quickly as we were a group of 2. I had the California Benedict with potatoes and my friend had the burger with fries. The California Benedict comes with two poached eggs sitting atop  mashed avocado and two mini tomatoes on small ciabatta rolls. The size of my dish took me by surprise. It looked more like a finger food than an actual breakfast dish. If you're hungry then this dish prob won't fulfill your appetite. They gave a decent amount of potatoes but I was still left a little hungry after. I will say that the eggs were poached perfectly and although the dish was rather small it was still quite tasty! My friend's burger, however, was much larger in size. The patty was bigger than the bun which is a plus in my book. And she had plenty of fries. She wasn't even able to finish her entire burger and she was starving when we arrived. So the dish size varies a lot per dish here. Our waiter was attentive and quick with servicing us with a full water vase when we finished ours. Overall a decent experience here.", The California Benedict comes with two poached eggs sitting atop  mashed avocado and two mini tomatoes on small ciabatta rolls. I will say that the eggs were poached perfectly and although the dish was rather small it was still quite tasty! The patty was bigger than the bun which is a plus in my book. Our waiter was attentive and quick with servicing us with a full water vase when we finished ours. Overall a decent experience here
